ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q5543860,George Richardson (New Zealand politician),1889-10-17,1891-01-24,,Q6247999
2,Q6247999,John McKenzie (New Zealand politician),1891-01-24,1900-06-27,Q5543860,Q7795384
3,Q7795384,Thomas Young Duncan,1900-07-02,1906-08-06,Q6247999,Q7347577
4,Q7347577,Robert McNab,1906-08-06,1908-11-30,Q7795384,Q1371024
5,Q1371024,Joseph Ward,1908-12-01,1909-05-01,Q7347577,Q206153
6,Q206153,Thomas Mackenzie,1909-05-01,1912-07-10,Q1371024,Q923806
7,Q923806,William Massey,1912-07-10,1915-08-12,Q206153,Q8007894
8,Q8007894,William MacDonald (New Zealand politician),1915-08-12,1919-08-22,Q923806,Q8016191
9,Q8016191,William Nosworthy,1919-09-04,1926-01-18,Q8007894,Q15998976
10,Q15998976,Oswald Hawken,1926-01-18,1928-08-24,Q8016191,Q775773
11,Q775773,George Forbes (New Zealand politician),1928-12-10,1930-05-28,Q15998976,Q4723186
12,Q4723186,Alfred Murdoch,1930-05-28,1931-09-22,Q775773,Q5235724
13,Q5235724,David Jones (New Zealand politician),1931-09-22,1932-01-08,Q4723186,Q5080539
14,Q5080539,Charles MacMillan,1932-01-08,1935-12-06,Q5235724,Q3228906
15,Q3228906,Lee Martin (politician),1935-12-06,1941-01-21,Q5080539,Q6134641
16,Q6134641,Jim Barclay,1941-01-21,1943-10-18,Q3228906,Q4889174
17,Q4889174,Ben Roberts (politician),1943-10-29,1946-12-19,Q6134641,Q5344235
18,Q5344235,Ted Cullen,1946-12-19,1949-12-13,Q4889174,Q637012
19,Q637012,Keith Holyoake,1949-12-13,1957-09-26,Q5344235,Q7509405
20,Q7509405,Sidney Walter Smith,1957-09-26,1957-12-12,Q637012,Q5126745
21,Q5126745,Jerry Skinner,1957-12-12,1960-12-12,Q7509405,Q8012002
22,Q8012002,William Gillespie (New Zealand politician),1960-12-12,1961-04-23,Q5126745,Q16000271
23,Q16000271,Thomas Hayman,1961-05-02,1962-01-02,Q8012002,Q461383
24,Q461383,Brian Talboys,1962-01-24,1969-12-22,Q16000271,Q5301317
25,Q5301317,Douglas Carter,1969-12-22,1972-12-08,Q461383,Q5145434
26,Q5145434,Colin Moyle,1972-12-08,1975-12-12,Q5301317,Q5314460
27,Q5314460,Duncan MacIntyre (New Zealand politician),1975-12-12,1984-07-26,Q5145434,Q5145434
,Q5145434,Colin Moyle,1984-07-26,1990-02-09,Q5314460,Q6198412
28,Q6198412,Jim Sutton,1990-02-09,1990-11-02,Q5145434,Q3181466
29,Q3181466,John Falloon,1990-11-02,1996-02-29,Q6198412,Q5978615
30,Q5978615,Lockwood Smith,1996-02-29,1998-08-26,Q3181466,Q6245566
31,Q6245566,John Luxton,1998-08-26,1999-12-10,Q5978615,Q6198412
,Q6198412,Jim Sutton,1999-12-10,2005-10-19,Q6245566,Q1036723
32,Q1036723,Jim Anderton,2005-10-19,2008-11-19,Q6198412,Q6128819
33,Q6128819,David Carter (politician),2008-11-19,2011-12-14,Q1036723,Q5212493
34,Q5212493,Damien O'Connor,2017-10-26,,Q6128819,
